型号,机号,传动方式,主轴转速,流量,全压,电机型号,功率
9月19日,11.2,D,960,10182,3128,Y180L-6,15
9月19日,11.2,D,960,11580,2996,Y180L-6,15
9月19日,11.2,D,960,12978,2860,Y200L2-6,22
9月19日,11.2,D,960,43575,2705,Y200L2-6,22
9月19日,12.5,D,1450,12577,9229,Y280S-4,75
9月19日,12.5,D,1450,15512,9390,Y280S-4,75
9月19日,12.5,D,1450,18447,9310,Y280S-4,75
9月19日,12.5,D,1450,21381,9068,Y315S-4,75
9月19日,12.5,D,1450,24316,8678,Y315S-4,110
9月19日,12.5,D,1450,27251,8278,Y315S-4,110
9月19日,12.5,D,1450,30186,7822,Y315S-4,110
9月19日,12.5,D,960,8327,3975,Y200L2-6,22
9月19日,12.5,D,960,10270,4043,Y200L2-6,22
9月19日,12.5,D,960,12213,4009,Y200L2-6,22
9月19日,12.5,D,960,14156,3907,Y200L2-6,22
9月19日,12.5,D,960,16099,3741,Y250M-6,37
9月19日,12.5,D,960,18042,3571,Y250M-6,37
9月19日,12.5,D,960,19985,3377,Y250M-6,37
9月19日,14,D,1450,17670,11668,Y315M-4,132
9月19日,14,D,1450,21793,11874,Y315M-4,132
9月19日,14,D,1450,25916,11771,Y315M-4,132
9月19日,14,D,1450,30040,11464,Y355M-4,132
9月19日,14,D,1450,34163,10967,Y355M-4,220
9月19日,14,D,1450,38286,10457,Y355M-4,220
9月19日,14,D,1450,42409,9878,Y355M-4,220
9月19日,14,D,960,11699,5004,Y250M-6,37
9月19日,14,D,960,14428,5090,Y250M-6,37
9月19日,14,D,960,17158,5047,Y250M-6,37
9月19日,14,D,960,19888,4917,Y315S-6,75
9月19日,14,D,960,22618,4709,Y315S-6,75
9月19日,14,D,960,25348,4494,Y315S-6,75
9月19日,14,D,960,28078,4249,Y315S-6,75
9月19日,16,D,1450,26377,15425,Y355M3-4,315
9月19日,16,D,1450,32531,15700,Y355M3-4,315
9月19日,16,D,1450,38686,15563,Y355M3-4,315
9月19日,16,D,1450,44841,15151,Y355M3-4,315
9月19日,16,D,1450,50995,14488,Y355M3-4,315
9月19日,16,D,1450,57150,13808,JS138-4,410
9月19日,16,D,1450,63305,13035,JS138-4,410
9月19日,16,D,960,17463,6570,Y315S-6,75
9月19日,16,D,960,21538,6683,Y315S-6,75
9月19日,16,D,960,25613,6627,Y315S-6,75
9月19日,16,D,960,29687,6456,Y315L1-6,110
9月19日,16,D,960,33762,6180,Y315L1-6,110
9月19日,16,D,960,37837,5898,Y315L1-6,110
9月19日,16,D,960,41912,5575,Y315L1-6,110
9月26日,4,A,2900,2198,3825,Y132S1-2,5.5
9月26日,4,A,2900,2368,3820,Y132S1-2,5.5
9月26日,4,A,2900,2536,3765,Y132S1-2,5.5
9月26日,4,A,2900,2706,3684,Y132S1-2,5.5
9月26日,4,A,2900,2877,3607,Y132S1-2,5.5
9月26日,4,A,2900,3044,3502,Y132S1-2,5.5
9月26日,4,A,2900,3215,3407,Y132S1-2,5.5
9月26日,4.5,A,2900,3130,4910,Y132S2-2,7.5
9月26日,4.5,A,2900,3407,4863,Y132S2-2,7.5
9月26日,4.5,A,2900,3685,4776,Y132S2-2,7.5
9月26日,4.5,A,2900,3963,4661,Y160M1-2,11
9月26日,4.5,A,2900,4237,4545,Y160M1-2,11
9月26日,4.5,A,2900,4515,4412,Y160M1-2,11
9月26日,4.5,A,2900,4792,4256,Y160M1-2,11
9月26日,5,A,2900,4293,6035,Y160M2-2,15
9月26日,5,A,2900,4706,5984,Y160M2-2,15
9月26日,5,A,2900,5114,5969,Y160M2-2,15
9月26日,5,A,2900,5527,5725,Y160M2-2,15
9月26日,5,A,2900,5941,5553,Y160M2-2,15
9月26日,5,A,2900,6349,5381,Y160M2-2,15
9月26日,5,A,2900,6762,5180,Y160L-2,18.5
9月26日,5.6,A,2900,6032,7610,Y180M-2,22
9月26日,5.6,A,2900,6612,7546,Y180M-2,22
9月26日,5.6,A,2900,1785,7400,Y180M-2,22
9月26日,5.6,A,2900,7766,7218,Y200L1-2,30
9月26日,5.6,A,2900,8346,7000,Y200L1-2,30
9月26日,5.6,A,2900,8919,6781,Y200L1-2,30
9月26日,5.6,A,2900,9500,6527,Y200L1-2,30
9月26日,6.3,A,2900,8588,9698,Y250M-2,45
9月26日,6.3,A,2900,9415,9616,Y250M-2,45
9月26日,6.3,A,2900,10230,9429,Y250M-2,45
9月26日,6.3,A,2900,11056,9195,Y250M-2,45
9月26日,6.3,A,2900,11183,8915,Y250M-2,45
9月26日,6.3,A,2900,12699,8636,Y250M-2,55
9月26日,6.3,A,2900,13525,8310,Y250M-2,55
9月26日,7.1,D,2900,12292,12427,Y280S-2,75
9月26日,7.1,D,2900,13475,12321,Y280S-2,75
9月26日,7.1,D,2900,14643,12078,Y280S-2,75
9月26日,7.1,D,2900,15826,11776,Y315S-2,110
9月26日,7.1,D,2900,17009,11415,Y315S-2,110
9月26日,7.1,D,2900,18177,11055,Y315S-2,110
9月26日,7.1,D,2900,19360,10635,Y315S-2,110
9月26日,8,D,2900,17584,15955,Y315M-2,132
9月26日,8,D,2900,19277,15818,Y315M-2,132
9月26日,8,D,2900,20947,15504,Y315M-2,132
9月26日,8,D,2900,22640,15112,Y315L2-2,200
9月26日,8,D,2900,24332,14644,Y315L2-2,200
9月26日,8,D,2900,26003,14177,Y315L2-2,200
9月26日,8,D,2900,27696,13634,Y315L2-2,200
9月26日,8,D,1450,8792,3834,Y180M-4,18.5
9月26日,8,D,1450,9639,3802,Y180M-4,18.5
9月26日,8,D,1450,10473,3729,Y180M-4,18.5
9月26日,8,D,1450,11320,3638,Y180M-4,18.5
9月26日,8,D,1450,12166,3529,Y180M-4,18.5
9月26日,8,D,1450,13001,3421,Y200L-4,30
9月26日,8,D,1450,13848,3294,Y200L-4,30
9月26日,9,D,1450,12518,4869,Y200L-4,30
9月26日,9,D,1450,13723,4828,Y200L-4,30
9月26日,9,D,1450,14913,4736,Y200L-4,30
9月26日,9,D,1450,16118,4620,Y225M-4,45
9月26日,9,D,1450,17322,4481,Y225M-4,45
9月26日,9,D,1450,18512,4343,Y225M-4,45
9月26日,9,D,1450,19717,4181,Y225M-4,45
9月26日,10,D,1450,17172,6143,Y250M-4,55
9月26日,10,D,1450,19319,6056,Y250M-4,55
9月26日,10,D,1450,21465,5920,Y250M-4,55
9月26日,10,D,1450,23612,5761,Y280S-4,75
9月26日,10,D,1450,25758,5560,Y280S-4,75
9月26日,10,D,1450,27905,5309,Y280S-4,75
9月26日,10,D,1450,30052,5065,Y280S-4,75
9月26日,11.2,D,1450,24126,7747,Y315S-4,110
9月26日,11.2,D,1450,27142,7637,Y315S-4,110
9月26日,11.2,D,1450,30157,7464,Y315S-4,110
9月26日,11.2,D,1450,33173,7264,Y315S-4,110
9月26日,11.2,D,1450,36189,7009,Y315S-4,132
9月26日,11.2,D,1450,38105,6691,Y315M-4,132
9月26日,11.2,D,1450,42221,6382,Y315M-4,132
9月26日,11.2,D,960,15973,3346,Y225M-6,30
9月26日,11.2,D,960,17969,3299,Y225M-6,30
9月26日,11.2,D,960,19966,3225,Y225M-6,30
9月26日,11.2,D,960,21963,3140,Y225M-6,30
9月26日,11.2,D,960,23959,3031,Y250M-6,37
9月26日,11.2,D,960,25956,2895,Y250M-6,37
9月26日,11.2,D,960,27953,2763,Y250M-6,37
9月26日,12.5,D,1450,33540,9713,Y315L1-4,160
9月26日,12.5,D,1450,37732,9575,Y315L1-4,160
9月26日,12.5,D,1450,41925,9356,Y315L1-4,160
9月26日,12.5,D,1450,46117,9103,Y335M2-4,250
9月26日,12.5,D,1450,50310,8781,Y335M2-4,250
9月26日,12.5,D,1450,54503,8381,Y335M2-4,250
9月26日,12.5,D,1450,58695,7993,Y335M2-4,250
9月26日,12.5,D,960,15973,3346,Y225M-6,30
9月26日,12.5,D,960,17969,3299,Y225M-6,30
9月26日,12.5,D,960,19966,3225,Y225M-6,30
9月26日,12.5,D,960,21963,3140,Y225M-6,30
9月26日,12.5,D,960,23959,3031,Y250M-6,37
9月26日,12.5,D,960,25956,2895,Y250M-6,37
9月26日,12.5,D,960,27953,2763,Y250M-6,37
9月26日,14,D,1450,47121,12285,Y355M2-4,250
9月26日,14,D,1450,53011,12109,Y355M2-4,250
9月26日,14,D,1450,58902,11830,JS138-4,410
9月26日,14,D,1450,64792,11508,JS138-4,410
9月26日,14,D,1450,70682,11099,JS138-4,410
9月26日,14,D,1450,76572,10589,JS138-4,410
9月26日,14,D,1450,82463,11095,JS138-4,410
9月26日,14,D,960,31197,5262,Y315S-6,75
9月26日,14,D,960,35097,5188,Y315S-6,75
9月26日,14,D,960,38997,5071,Y315S-6,75
9月26日,14,D,960,42897,4936,Y315L1-6,110
9月26日,14,D,960,46796,4764,Y315L1-6,110
9月26日,14,D,960,50696,4549,Y315L1-6,110
9月26日,14,D,960,54596,4341,Y315L1-6,110
9月26日,16,D,1450,70339,16250,JSQ-147-4,500
9月26日,16,D,1450,79131,16014,JSQ-147-4,500
9月26日,16,D,1450,87923,15640,JSQ-147-4,500
9月26日,16,D,1450,96716,15210,JSQ-158-4,850
9月26日,16,D,1450,105500,14663,JSQ-158-4,850
9月26日,16,D,1450,114300,13983,JSQ-158-4,850
9月26日,16,D,1450,123090,13324,JSQ-158-4,850
9月26日,16,D,960,46569,6911,Y355M2-6,185
9月26日,16,D,960,52390,6813,Y355M2-6,185
9月26日,16,D,960,58211,6659,Y355M2-6,185
9月26日,16,D,960,64032,6481,Y355M2-6,185
9月26日,16 16,D,960,69854,6254,Y355M2-6,185
9月26日,16,D,960,75675,5971,Y355L1-6,220
9月26日,16,D,960,81496,5696,Y355L1-6,220
G4-73,8,D,1450,16156,2104,Y180M-4,18.5
G4-73,8,D,1450,18244,2095,Y180M-4,18.5
G4-73,8,D,1450,20442,2072,Y180M-4,18.5
G4-73,8,D,1450,22530,2019,Y180M-4,18.5
G4-73,8,D,1450,24618,1924,Y180M-4,18.5
G4-73,8,D,1450,26706,1794,Y180M-4,18.5
G4-73,8,D,1450,28904,1611,Y180M-4,18.5
G4-73,8,D,1450,30993,1400,Y180M-4,18.5
G4-73,9,D,1450,23003,2668,Y200L-4,30
G4-73,9,D,1450,25976,2656,Y200L-4,30
G4-73,9,D,1450,29106,2628,Y200L-4,30
G4-73,9,D,1450,32079,25599,Y200L-4,30
G4-73,9,D,1450,35052,2440,Y225S-4,37
G4-73,9,D,1450,38026,2275,Y225S-4,37
G4-73,9,D,1450,41155,2042,Y225S-4,37
G4-73,9,D,1450,44128,1775,Y225S-4,37
G4-73,9,D,960,15229,1163,Y160L-6,11
G4-73,9,D,960,17198,1158,Y160L-6,11
G4-73,9,D,960,19270,1146,Y160L-6,11
G4-73,9,D,960,21238,1116,Y160L-6,11
G4-73,9,D,960,23207,1064,Y160L-6,11
G4-73,9,D,960,25175,993,Y160L-6,11
G4-73,9,D,960,27247,891,Y160L-6,11
G4-73,9,D,960,29216,775,Y160L-6,11
G4-73,10,D,1450,31554,3301,Y250M-4,55
G4-73,10,D,1450,35633,3287,Y250M-4,55
G4-73,10,D,1450,39926,3251,Y250M-4,55
G4-73,10,D,1450,44004,3166,Y250M-4,55
G4-73,10,D,1450,48083,3018,Y250M-4,55
G4-73,10,D,1450,52161,2813,Y250M-4,55
G4-73,10,D,1450,56455,2525,Y250M-4,55
G4-73,10,D,1450,60533,2194,Y250M-4,55
G4-73,10,D,960,20891,1437,Y180L-6,15
G4-73,10,D,960,23591,1431,Y180L-6,15
G4-73,10,D,960,29134,1416,Y180L-6,15
G4-73,10,D,960,29134,1379,Y180L-6,15
G4-73,10,D,960,31834,1315,Y200L1-6,18.5
G4-73,10,D,960,34534,1226,Y200L1-6,18.5
G4-73,10,D,960,37377,1101,Y200L1-6,18.5
G4-73,10,D,960,40077,958,Y200L1-6,18.5
G4-73,10,D,730,15586,4003,Y280S-4,75
G4-73,10,D,730,17939,3986,Y280S-4,75
G4-73,10,D,730,20100,3943,Y280M-4,90
G4-73,10,D,730,22154,3840,Y280M-4,90
G4-73,10,D,730,24207,3660,Y280M-4,90
G4-73,10,D,730,26260,3411,Y280M-4,90
G4-73,10,D,730,28422,3060,Y280M-4,90
G4-73,10,D,730,30475,2659,Y280M-4,90
G4-73,11,D,1450,27806,1741,Y200L2-6,22
G4-73,11,D,1450,31400,1734,Y200L2-6,22
G4-73,11,D,1450,35183,7115,Y225M-6,30
G4-73,11,D,1450,38777,1671,Y225M-6,30
G4-73,11,D,1450,42371,1593,Y225M-6,30
G4-73,11,D,1450,45965,1485,Y225M-6,30
G4-73,11,D,1450,49784,1334,Y225M-6,30
G4-73,11,D,1450,53343,1160,Y225M-6,30
G4-73,11,D,960,27806,1741,Y200L2-6,22
G4-73,11,D,960,31400,1734,Y200L2-6,22
G4-73,11,D,960,35183,1715,Y225M-6,30
G4-73,11,D,960,38777,1671,Y225M-6,30
G4-73,11,D,960,42371,1593,Y225M-6,30
G4-73,11,D,960,45965,1485,Y225M-6,30
G4-73,11,D,960,49784,1334,Y225M-6,30
G4-73,11,D,960,53343,1160,Y225M-6,30
G4-73,11,D,730,21144,1004,Y180l-8,11
G4-73,11,D,730,26754,989,Y180l-8,11
G4-73,11,D,730,29487,964,Y180l-8,11
G4-73,11,D,730,32220,919,Y180l-8,11
G4-73,11,D,730,34953,857,Y180l-8,11
G4-73,11,D,730,37829,770,Y180l-8,11
G4-73,11,D,730,40562,669,Y180l-8,11
G4-73,12,D,1450,54526,4777,Y315M1-4,132
G4-73,12,D,1450,61574,4756,Y315M1-4,132
G4-73,12,D,1450,68992,4705,Y315M1-4,132
G4-73,12,D,1450,76040,4582,Y315M1-4,160
G4-73,12,D,1450,83088,4366,Y315M2-4,160
G4-73,12,D,1450,90135,4069,Y315M2-4,160
G4-73,12,D,1450,97554,3650,Y315M2-4,160
G4-73,12,D,1450,104600,3171,Y315M2-4,160
G4-73,12,D,960,36100,2075,Y250M-6,37
G4-73,12,D,960,40766,2066,Y250M-6,37
G4-73,12,D,960,45677,2044,Y250M-6,37
G4-73,12,D,960,50344,1990,Y280S-6,45
G4-73,12,D,960,55010,1898,Y280S-6,45
G4-73,12,D,960,59676,1769,Y280S-6,45
G4-73,12,D,960,64587,1588,Y280S-6,45
G4-73,12,D,960,69253,1381,Y280S-6,45
G4-73,12,D,730,27451,1196,Y200L-8,15
G4-73,12,D,730,30999,1191,Y200L-8,15
G4-73,12,D,730,24734,1178,Y225S-8,18.5
G4-73,12,D,730,38282,1148,Y225S-8,18.5
G4-73,12,D,730,41830,1094,Y225S-8,18.5
G4-73,12,D,730,45378,1020,Y225S-8,18.5
G4-73,12,D,730,49113,916,Y225S-8,18.5
G4-73,12,D,730,52661,797,Y225S-8,18.5
G4-73,14,D,1450,86586,6541,Y355L1-4,280
G4-73,14,D,1450,97777,6513,Y355L1-4,280
G4-73,14,D,1450,109550,6442,Y355L1-4,280
G4-73,14,D,1450,120740,6272,Y355L1-4,280
G4-73,14,D,1450,131940,5975,Y355L2-4,315
G4-73,14,D,1450,143130,5566,Y355L2-4,315
G4-73,14,D,1450,154910,4990,Y355L2-4,315
G4-73,14,D,1450,166100,4333,Y355L2-4,315
G4-73,14,D,960,57326,2831,Y315S-6,75
G4-73,14,D,960,64735,2819,Y315S-6,75
G4-73,14,D,960,72534,2789,Y315M1-6,90
G4-73,14,D,960,79944,2716,Y315M1-6,90
G4-73,14,D,960,87353,2589,Y315M1-6,90
G4-73,14,D,960,94763,2414,Y315M1-6,90
G4-73,14,D,960,102560,2166,Y315M1-6,90
G4-73,14,D,960,109970,1883,Y315M1-6,90
G4-73,14,D,730,43591,1630,Y280S-8,37
G4-73,14,D,730,49225,1623,Y280S-8,37
G4-73,14,D,730,55156,1606,Y280S-8,37
G4-73,14,D,730,60791,1564,Y280S-8,37
G4-73,14,D,730,66425,1491,Y280S-8,37
G4-73,14,D,730,72059,1391,Y280M-8,45
G4-73,14,D,730,77990,1249,Y280M-8,45
G4-73,14,D,730,83624,1086,Y280M-8,45
G4-73,16,D,960,85571,3709,Y355M2-6,185
G4-73,16,D,960,96631,3693,Y355M2-6,185
G4-73,16,D,960,108270,3653,Y355M2-6,185
G4-73,16,D,960,119330,3558,Y355M2-6,185
G4-73,16,D,960,130390,3391,Y355M2-6,185
G4-73,16,D,960,141450,3161,Y355M2-6,185
G4-73,16,D,960,153090,2836,Y355M2-6,185
G4-73,16,D,960,164150,2465,Y355M2-6,185
G4-73,16,D,730,65069,2133,Y315M1-4,75
G4-73,16,D,730,73480,2124,Y315M1-4,75
G4-73,16,D,730,82333,2101,Y315M1-4,75
G4-73,16,D,730,90743,2047,Y315M1-4,75
G4-73,16,D,730,99153,1951,Y315M1-4,75
G4-73,16,D,730,107560,1819,Y315M1-4,75
G4-73,16,D,730,116410,1633,Y315M1-4,75
G4-73,16,D,730,124820,1420,Y315M1-4,75
G4-73,16,D,580,51699,1343,Y315S-10,45
G4-73,16,D,580,58381,1337,Y315S-10,45
G4-73,16,D,580,65415,1323,Y315S-10,45
G4-73,16,D,580,72097,1289,Y315S-10,45
G4-73,16,D,580,78779,1228,Y315S-10,45
G4-73,16,D,580,85462,1146,Y315S-10,45
G4-73,16,D,580,92495,1029,Y315S-10,45
G4-73,16,D,580,99178,895,Y315S-10,45
G4-73,18,D,960,121830,4710,Y355-6,280
G4-73,18,D,960,137580,4690,Y355-6,280
G4-73,18,D,960,154160,4639,Y355-6,280
G4-73,18,D,960,169910,4518,Y355-6,280
G4-73,18,D,960,185650,4305,JSQ148-6,310
G4-73,18,D,960,201400,4012,JSQ148-6,310
G4-73,18,D,960,217980,3599,JSQ148-6,310
G4-73,18,D,960,233730,3126,JSQ148-6,310
G4-73,18,D,730,92648,2705,Y355M1-8,132
G4-73,18,D,730,104620,2693,Y355M1-8,132
G4-73,18,D,730,117220,2664,Y355M1-8,132
G4-73,18,D,730,129200,2595,Y355M1-8,132
G4-73,18,D,730,141170,2474,Y355M1-8,132
G4-73,18,D,730,153150,2306,Y355M1-8,132
G4-73,18,D,730,165750,2070,Y355M1-8,132
G4-73,18,D,730,177730,18000,Y355M1-8,132
G4-73,18,D,580,73610,1702,Y315M2-10,75
G4-73,18,D,580,83125,1694,Y315M2-10,75
G4-73,18,D,580,93140,1676,Y315M2-10,75
G4-73,18,D,580,102650,1633,Y315M2-10,75
G4-73,18,D,580,112160,1557,Y315M2-10,75
G4-73,18,D,580,121680,1452,Y315M2-10,75
G4-73,18,D,580,131690,1303,Y315M2-10,75
G4-73,18,D,580,141210,1133,Y315M2-10,75
G4-73,20,D,960,167130,5837,JSQ148-6,430
G4-73,20,D,960,188730,5812,JSQ148-6,430
G4-73,20,D,960,211470,5749,JSQ1410-6,520
G4-73,20,D,960,233070,5598,JSQ1410-6,520
G4-73,20,D,960,254670,5334,JSQ1410-6,520
G4-73,20,D,960,276270,4969,JSQ1410-6,520
G4-73,20,D,960,299010,4456,JSQ1410-6,520
G4-73,20,D,960,320610,3870,JSQ1410-6,520
G4-73,20,D,730,127080,3347,Y355-8,220
G4-73,20,D,730,143510,3333,Y355-8,220
G4-73,20,D,730,160800,3297,Y355-8,220
G4-73,20,D,730,177230,3211,Y355-8,220
G4-73,20,D,730,193660,3060,Y355-8,250
G4-73,20,D,730,210080,2853,Y355-8,250
G4-73,20,D,730,227370,2560,Y355-8,250
G4-73,20,D,730,243800,2225,Y355-8,250
G4-73,20,D,580,100970,2104,Y355M2-10,110
G4-73,20,D,580,114020,2095,Y355M2-10,110
G4-73,20,D,580,127760,2072,Y355M2-10,110
G4-73,20,D,580,140810,2018,Y355M2-10,110
G4-73,20,D,580,153860,1924,Y355L1-10,132
G4-73,20,D,580,166910,1794,Y355L1-10,132
G4-73,20,D,580,180650,1611,Y355L1-10,132
G4-73,20,D,580,193700,1400,Y355L1-10,132
Y4-73,8,D,1450,16156,1303,Y160M-4,11
Y4-73,8,D,1450,18244,1298,Y160M-4,11
Y4-73,8,D,1450,20441,1284,Y160L-4,15
Y4-73,8,D,1450,22530,1250,Y160L-4,15
Y4-73,8,D,1450,24618,1192,Y160L-4,15
Y4-73,8,D,1450,26706,1112,Y160L-4,15
Y4-73,8,D,1450,28904,998,Y160L-4,15
Y4-73,8,D,1450,30993,868,Y160L-4,15
Y4-73,9,D,1450,23003,1651,Y180L-4,22
Y4-73,9,D,1450,25976,1644,Y180L-4,22
Y4-73,9,D,1450,29106,1627,Y180L-4,22
Y4-73,9,D,1450,32079,1584,Y180L-4,22
Y4-73,9,D,1450,35052,1511,Y200L-4,30
Y4-73,9,D,1450,38026,1409,Y200L-4,30
Y4-73,9,D,1450,41155,1265,Y200L-4,30
Y4-73,9,D,1450,44128,1100,Y200L-4,30
Y4-73,9,D,960,15229,721,Y160M-6,7.5
Y4-73,9,D,960,17198,718,Y160M-6,7.5
Y4-73,9,D,960,19270,711,Y160M-6,7.5
Y4-73,9,D,960,21238,692,Y160M-6,7.5
Y4-73,9,D,960,23207,660,Y160M-6,7.5
Y4-73,9,D,960,25175,616,Y160M-6,7.5
Y4-73,9,D,960,27247,553,Y160M-6,7.5
Y4-73,9,D,960,29219,418,Y160M-6,7.5
Y4-73,10,D,1450,31554,2041,Y225S-4,37
Y4-73,10,D,1450,35633,2033,Y225S-4,37
Y4-73,10,D,1450,39926,2011,Y225S-4,37
Y4-73,10,D,1450,44004,1959,Y225S-4,37
Y4-73,10,D,1450,48083,1867,Y225M-4,45
Y4-73,10,D,1450,52161,1741,Y225M-4,45
Y4-73,10,D,1450,56455,1563,Y225M-4,45
Y4-73,10,D,1450,60533,1359,Y225M-4,45
Y4-73 Y4-73,10,D,960,20891,891,Y160L-6,11
Y4-73,10,D,960,23591,887,Y160L-6,11
Y4-73,10,D,960,26434,878,Y160L-6,11
Y4-73,10,D,960,29134,855,Y160L-6,11
Y4-73 Y4-73 Y4-73,10,D,960,31834,815,Y160L-6,11
Y4-73,10,D,960,34534,761,Y160L-6,11
Y4-73,10,D,960,37377,683,Y160L-6,11
Y4-73,10,D,960,40077,594,Y160L-6,11
Y4-73,10,D,730,15886,515,Y160M2-8,5.5
Y4-73,10,D,730,17939,512,Y160M2-8,5.5
Y4-73,10,D,730,20100,507,Y160M2-8,5.5
Y4-73,10,D,730,22154,494,Y160M2-8,5.5
Y4-73,10,D,730,24207,471,Y160M2-8,5.5
Y4-73,10,D,730,26260,439,Y160M2-8,5.5
Y4-73,10,D,730,28422,395,Y160M2-8,5.5
Y4-73,10,D,730,30475,343,Y160M2-8,5.5
Y4-73,11,D,1450,41999,2474,Y250M-4,55
Y4-73,11,D,1450,47427,2463,Y250M-4,55
Y4-73,11,D,1450,53142,2437,Y250M-4,55
Y4-73,11,D,1450,58570,2373,Y280S-4,75
Y4-73,11,D,1450,63998,2263,Y280S-4,75
Y4-73,11,D,1450,69427,2109,Y280S-4,75
Y4-73,11,D,1450,75141,1893,Y280S-4,75
Y4-73,11,D,1450,80570,1646,Y280S-4,75
Y4-73,11,D,960,27806,1079,Y200L1-6,18.5
Y4-73,11,D,960,31400,1075,Y200L1-6,18.5
Y4-73,11,D,960,35183,1063,Y200L1-6,18.5
Y4-73,11,D,960,38777,1037,Y200L1-6,18.5
Y4-73,11,D,960,42371,987,Y200L1-6,18.5
Y4-73,11,D,960,45965,921,Y200L1-6,18.5
Y4-73,11,D,960,49784,827,Y200L1-6,18.5
Y4-73,11,D,960,53343,719,Y200L1-6,18.5
Y4-73,11,D,730,21144,623,Y160L-8,7.5
Y4-73,11,D,730,23877,620,Y160L-8,7.5
Y4-73,11,D,730,26754,614,Y160L-8,7.5
Y4-73 Y4-73,11,D,730,29487,598,Y180L-8,11
Y4-73,11,D,730,32220,570,Y180L-8,11
Y4-73,11,D,730,34953,532,Y180L-8,11
Y4-73,11,D,730,37829,478,Y180L-8,11
Y4-73,11,D,730,40562,415,Y180L-8,11
Y4-73,12,D,1450,54526,2949,Y280M-4,90
Y4-73,12,D,1450,61574,2936,Y280M-4,90
Y4-73,12,D,1450,68992,2905,Y280M-4,90
Y4-73,12,D,1450,76040,2829,Y280M-4,90
Y4-73,12,D,1450,83088,2697,Y315S-4,11
Y4-73,12,D,1450,90135,2514,Y315S-4,11
Y4-73,12,D,1450,97554,2256,Y315S-4,11
Y4-73,12,D,1450,104600,1916,Y315S-4,11
Y4-73,12,D,960,316600,1285,Y225M-6,30
Y4-73,12,D,960,70766,1280,Y225M-6,30
Y4-73 Y4-73,12,D,960,45677,1266,Y225M-6,30
Y4-73,12,D,960,50344,1233,Y225M-6,30
Y4-73,12,D,960,55010,1176,Y225M-6,30
Y4-73,12,D,960,59676,1096,Y225M-6,30
Y4-73,12,D,960,64587,985,Y225M-6,30
Y4-73,12,D,960,69253,856,Y225M-6,30
Y4-73,12,D,730,27451,742,Y180L-4,11
Y4-73,12,D,730,30999,739,Y180L-4,11
Y4-73,12,D,730,34734,731,Y180L-4,11
Y4-73,12,D,730,38282,712,Y200L-8,15
Y4-73,12,D,730,41830,679,Y200L-8,15
Y4-73,12,D,730,45378,633,Y200L-8,15
Y4-73,12,D,730,49113,569,Y200L-8,15
Y4-73,12,D,730,52661,495,Y200L-8,15
Y4-73,14,D,1450,86586,4029,Y315L-4,185
Y4-73,14,D,1450,97777,4011,Y315L-4,185
Y4-73,14,D,1450,109550,3968,Y315L-4,185
Y4-73,14,D,1450,120740,3864,Y315M-4,220
Y4-73,14,D,1450,131940,3683,Y315M-4,220
Y4-73,14,D,1450,143130,3433,Y315M-4,220
Y4-73 Y4-73,14,D,1450,154910,3080,Y315M-4,220
Y4-73,14,D,1450,166610,2676,Y315M-4,220
Y4-73,14,D,960,57326,1752,Y280M-6,55
Y4-73,14,D,960,64735,1745,Y280M-6,55
Y4-73,14,D,960,72534,1726,Y280M-6,55
Y4-73,14,D,960,79944,1681,Y315S-6,75
Y4-73,14,D,960,87353,1603,Y315S-6,75
Y4-73,14,D,960,94763,1495,Y315S-6,75
Y4-73,14,D,960,102560,1342,Y315S-6,75
Y4-73,14,D,960,109970,1167,Y315S-6,75
Y4-73,14,D,730,43591,1010,Y225M-8,22
Y4-73,14,D,730,49225,1006,Y225M-8,22
Y4-73,14,D,730,55156,995,Y250M-8,30
Y4-73,14,D,730,60791,970,Y250M-8,30
Y4-73,14,D,730,66425,925,Y250M-8,30
Y4-73 Y4-73,14,D,730,72059,862,Y250M-8,30
Y4-73,14,D,730,77990,774,Y250M-8,30
Y4-73,14,D,730,83624,674,Y250M-8,30
Y4-73,16,D,960,85571,2293,Y315M2-6,110
Y4-73,16,D,960,96631,2283,Y315M2-6,110
Y4-73,16,D,960,108270,2258,Y315M2-6,110
Y4-73,16,D,960,119330,2200,Y315M3-6,132
Y4-73,16,D,960,130390,2097,Y315M3-6,132
Y4-73,16,D,960,141450,1955,Y315M3-6,132
Y4-73,16,D,960,153090,1755,Y315M3-6,132
Y4-73,16,D,960,164150,1526,Y315M3-6,132
Y4-73,16,D,730,65069,1312,Y280M-8,45
Y4-73,16,D,730,73480,1316,Y280M-8,45
Y4-73,16,D,730,82333,1302,Y280M-8,45
Y4-73,16,D,730,90743,1268,Y315S-10,55
Y4-73,16,D,730,99153,1209,Y315S-10,55
Y4-73,16,D,730,107560,1127,Y315S-10,55
Y4-73 Y4-73,16,D,730,116410,1012,Y315S-10,55
Y4-73,16,D,730,124820,880,Y315S-10,55
Y4-73,16,D,580,51699,833,Y315S-10,45
Y4-73,16,D,580,58381,829,Y315S-10,45
Y4-73,16,D,580,65415,820,Y315S-10,45
Y4-73,16,D,580,72097,799,Y315S-10,45
Y4-73,16,D,580,78779,762,Y315S-10,45
Y4-73,16,D,580,85462,711,Y315S-10,45
Y4-73,16,D,580,92495,938,Y315S-10,45
Y4-73,16,D,580,99178,555,Y315S-10,45
